idEscena,pitch,yaw,text,URL
"VIAPOL_23","-8","30","Calle Camilo José Cela",""
"VIAPOL_23","0","165","Avda. San Francisco Javier",""
"VIAPOL_23","15","210","Edificio Catalana Occidente",""
"VIAPOL_23","15","300","Facultad de Psicología y Filosofía",""
"VIAPOL_22","0","270","Campus Viapol",""
"VIAPOL_21","0","15","Garita de Seguridad del Campus",""
"VIAPOL_21","15","135","Facultad de Turismo y Finanzas",""
"VIAPOL_21","5","175","Biblioteca Facultad de Turismo y Finanzas",""
"VIAPOL_21","0","195","Otra Entrada de la Facultad de Psicología",""
"VIAPOL_21","8","95","Facultad de Económicas y Empresariales",""
"PSICO_1","0","315","Conserjeria",""
"PSICO_1","0","30","Secretaría",""
"PSICO_1","0","350","Patio Interior",""
"PSICO_1","-4","340","Punto de Información PIUS",""
"PSICO_2","0","120","Puerta de salida al patio",""
"PSICO_2","15","300","Fuente de Agua",""
"PSICO_2","0","255","Máquinas Expendedoras",""
"PSICO_2","-12","240","Contenedores de Reciclado",""
"PSICO_2","0","90","Escalera Noreste",""
"PSICO_2","0","270","Escalera Sureste",""
"PSICO_3","0","275","Escalera Noreste",""
"PSICO_3","0","60","Escalera Sureste",""
"PSICO_4","0","210","Copisteria",""
"PSICO_4","-2","-6","Aseos",""
"PSICO_4","0","90","Salida Sureste al Aparcamiento",""
"PSICO_5","0","292","Directorio Realizado por los alumnos",""
"PSICO_6","0","0","Salida Suroeste al Aparcamiento",""
"PSICO_6","0","345","Ascensor",""
"PSICO_6","-5","97","Aseos",""
"PSICO_7","0","0","Escalera Noroeste",""
"PSICO_7","0","105","Puerta de Salida al Patio",""
"PSICO_7","-15","180","Escalera Suroeste",""
"PSICO_7","0","330","Directorio de la Biblioteca (4 Plantas)",""
"PSICO_8","-10","-70","Buzón de Autodevolución",""
"PSICO_8","-8","285","Fuente de Agua",""
"PSICO_8","-15","0","BookCrossing",""
