idEscena,sceneId,pitch,yaw,text,targetPitch,targetYaw
"VIAPOL_14","TURFIN_1","0","180","Entrada al Edificio de Servicios Multiples","0","180"
# DESDE "TURFIN_1" VAMOS a "TURFIN_2" ó VOLVEMOS "VIAPOL_14"
"TURFIN_1","TURFIN_2","0","180","Entrada al edificio","-5","180"
"TURFIN_1","VIAPOL_14","-30","0","Volvemos a la entrada","0","150"
# DESDE "TURFIN_2" VAMOS a "TURFIN_3" ó VOLVEMOS "TURFIN_1"
"TURFIN_2","TURFIN_3","-10","180","Avanzamos por el pasillo","-5","180"
"TURFIN_2","TURFIN_1","0","0","Salimos a la calle","-15","15"
# DESDE "TURFIN_3" VAMOS a "TURFIN_4" "TURFIN_9" ó VOLVEMOS "TURFIN_2"
"TURFIN_3","TURFIN_9","0","175","Entramos a la Biblioteca","0","225"
"TURFIN_3","TURFIN_4","-8","83","Hacia el Campus","0","225"
"TURFIN_3","TURFIN_2","-15","270","Hacia la calle","0","0"
# DESDE "TURFIN_4" VAMOS a "TURFIN_5" "TURFIN_6" ó VOLVEMOS "TURFIN_3"
"TURFIN_4","TURFIN_5","-8","265","Salimos al aparcamiento/campus","0","0"
"TURFIN_4","TURFIN_6","0","180","Subimos a la primera planta","0","90"
"TURFIN_4","TURFIN_3","-8","89","Volvemos al la puerta de la Biblioteca","0","210"
# DESDE "TURFIN_5" VOLVEMOS "TURFIN_4"
"TURFIN_5","TURFIN_4","0","180","Volvemos al pasillo","0","210"
# DESDE "TURFIN_6" VAMOS a "TURFIN_7" VOLVEMOS "TURFIN_4"
"TURFIN_6","TURFIN_4","-15","180","Volvemos a la planta baja","0","150"
"TURFIN_6","TURFIN_7","-10","90","Hacia Salas de Trabajo en Grupo","0","195"
# DESDE "TURFIN_7" VAMOS a "TURFIN_8" VOLVEMOS "TURFIN_6"
"TURFIN_7","TURFIN_8","0","180","Entramos a las salas de trabajo en grupo","0","225"
"TURFIN_7","TURFIN_6","-8","85","Volvemos a las escaleras","-15","225"
# DESDE "TURFIN_8" VOLVEMOS "TURFIN_7"
"TURFIN_8","TURFIN_6","0","0","Volvemos al pasillo","-5","0"
# DESDE mostrador "TURFIN_9" VAMOS a krugman "TURFIN_11", keynes "TURFIN_10" ó VOLVEMOS a pasillo "TURFIN_3"
"TURFIN_9","TURFIN_10","-5","105","Sala Keynes","-15","30"
"TURFIN_9","TURFIN_11","-5","270","Sala Krugman","-15","105"
"TURFIN_9","TURFIN_3","-1","22","Volvemos al pasillo","0","315"
# DESDE "TURFIN_10" VOLVEMOS "TURFIN_9"
"TURFIN_10","TURFIN_9","-5","180","Volvemos a la entrada","-15","180"
# LOS SIGUIENTES ELEMENTOS CREAN UN RECORRIDO CIRCULAR
# DESDE "TURFIN_11" VAMOS  "TURFIN_12", "TURFIN_15" ó VOLVEMOS "TURFIN_9"
"TURFIN_11","TURFIN_9","-15","330","Volvemos a la entrada","-15","180"
"TURFIN_11","TURFIN_12","-8","240","Exploramos la Biblioteca","-15","180"
"TURFIN_11","TURFIN_15","-15","105","Exploramos la Biblioteca","0","180"
# DESDE "TURFIN_12" VAMOS  "TURFIN_13" ó VOLVEMOS "TURFIN_11"
"TURFIN_12","TURFIN_11","-15","45","Volvemos a la entrada Krugman","0","345"
"TURFIN_12","TURFIN_13","0","180","Vamos al fondo de la Biblioteca","0","255"
# DESDE "TURFIN_13" VAMOS  "TURFIN_14" ó VOLVEMOS "TURFIN_12"
"TURFIN_13","TURFIN_11","0","90","Volvemos a la entrada Krugman","0","45"
"TURFIN_13","TURFIN_14","0","180","Vamos al otro lado de la Biblioteca","0","150"
# DESDE "TURFIN_14" VAMOS  "TURFIN_15" ó VOLVEMOS "TURFIN_13"
"TURFIN_14","TURFIN_15","-5","180","Volvemos a la entrada Krugman","0","300"
"TURFIN_14","TURFIN_13","0","90","Vamos al otro lado de la Biblioteca","0","90"
# DESDE "TURFIN_15" VAMOS  "TURFIN_11" "TURFIN_12" ó VOLVEMOS "TURFIN_14"
"TURFIN_15","TURFIN_11","-15","270","Volvemos a la entrada Krugman","-15","330"
"TURFIN_15","TURFIN_12","0","255","Exploramos la Biblioteca","0","195"
"TURFIN_15","TURFIN_14","0","175","Volvemos al fondo","0","30"
