idEscena,pitch,yaw,text,URL
"VIAPOL_14","-8","72","Puerta de Entrada peatonal al recinto",""
"VIAPOL_14","0","45","Cafetería Corner",""
"VIAPOL_14","-8","330","Calle Barrau",""
"VIAPOL_14","0","210","Servicio de Hombres",""
"TURFIN_1","0","270","Servicios de Hombres",""
"TURFIN_2","-10","200","Máquinas Expendedoras Snacks",""
"TURFIN_2","-4","190","Máquina de café",""
"TURFIN_3","-15","225","Buzón de Autodevolución",""
"TURFIN_3","0","300","Ascensor",""
"TURFIN_3","-8","250","Fuente de Agua",""
"TURFIN_5","0","15","Edificio Principal de Facultad de Turismo y Finanzas",""
"TURFIN_5","0","270","Facultad de Filosofía y Psicología",""
"TURFIN_6","0","312","Depósito de la Biblioteca",""
"TURFIN_9","-15","330","Ordenadores de Consulta/Catálogo",""
"TURFIN_9","-15","210","Mostrador de atención al público",""
"TURFIN_9","-8","158","Información Bibliotecaria",""
"TURFIN_10","-2","322","Salida de emergencia",""
"TURFIN_11","15","150","Estanterias con Guías de Viajes",""
"TURFIN_11","0","0","Sello de Excelencia",""
"TURFIN_11","0","240","Salida de Emergencia",""
"TURFIN_12","-14","195","Puestos de Estudio/consulta",""
"TURFIN_13","0","330","Salida de Emergencia",""
"TURFIN_13","-25","290","Taburete para alcanzar estanterias superiores",""
"TURFIN_13","-30","15","Carrito para depositar los libros consultados",""
"TURFIN_14","0","180","Personal Bibliotecario",""
"TURFIN_14","-15","195","Puestos de consulta/estudio electrificados",""
"TURFIN_15","-15","300","Puestos de consulta/estudio individuales",""
"TURFIN_15","-15","15","Personal Bibliotecario",""
"TURFIN_15","-15","240","Estanterías con Guías de Viajes",""
