idEscena,title,basePath
"VIAPOL_1","Entrada Derecho desde Educación","./fotos360/VIAPOL/VIAPOL_1"
"VIAPOL_2","A Educacion desde derecho proxima al garage","./fotos360/VIAPOL/VIAPOL_2"
"VIAPOL_3","Desde Educacion a la calle exterior cantina de derecho","./fotos360/VIAPOL/VIAPOL_3"
"VIAPOL_4","Exterior Cofee & tea Atras","./fotos360/VIAPOL/VIAPOL_4"
"VIAPOL_5","Exterior Cofee & tea Atras un poco mas adelante","./fotos360/VIAPOL/VIAPOL_5"
"VIAPOL_6","Paso peatones economicas Antes de nada","./fotos360/VIAPOL/VIAPOL_6"
"VIAPOL_7","Paso peatones economicas Primer paso","./fotos360/VIAPOL/VIAPOL_7"
"VIAPOL_8","Paso peatones economicas Segundo paso","./fotos360/VIAPOL/VIAPOL_8"
"VIAPOL_9","Hacia elaparcamiento de economicas","./fotos360/VIAPOL/VIAPOL_9"
"VIAPOL_10","Puerta de Económicas","./fotos360/VIAPOL/VIAPOL_10"
"VIAPOL_11","Poliderportivo Viapol","./fotos360/VIAPOL/VIAPOL_11"
"VIAPOL_12","Entrada Economicas desde campus Viapol","./fotos360/VIAPOL/VIAPOL_12"
"VIAPOL_13","Entre polideportivo y Turismo","./fotos360/VIAPOL/VIAPOL_13"
"VIAPOL_14","Entrada de Turismo","./fotos360/VIAPOL/VIAPOL_14"
"VIAPOL_15","Esquina del corner","./fotos360/VIAPOL/VIAPOL_15"
"VIAPOL_16","Aparcamiento Psicologia","./fotos360/VIAPOL/VIAPOL_16"
"VIAPOL_17","Aparcamiento Psicologia","./fotos360/VIAPOL/VIAPOL_17"
"VIAPOL_18","Puerta Trasera de Turismo","./fotos360/VIAPOL/VIAPOL_18"
"VIAPOL_19","Puerta Trasera de Turismo ANTES","./fotos360/VIAPOL/VIAPOL_19"
"VIAPOL_20","Puerta polideportivo","./fotos360/VIAPOL/VIAPOL_20"
"VIAPOL_21","Garita de seguridad Viapol",","./fotos360/VIAPOL/VIAPOL_21"
"VIAPOL_22","Entrada Psicologia desde lateral","./fotos360/VIAPOL/VIAPOL_22"
"VIAPOL_23","Entrada Psicología desde Catalana Occidente","./fotos360/VIAPOL/VIAPOL_23"
